Conference,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Cleaned Team,Team ID,TEAM_ID,TEAM_NAME,GP,W_y,L_y,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
Western Conference,Los Angeles Lakers*,52,19,0.732,â€”,113.4,107.6,6.28,2019-20,Los Angeles Lakers,1610612747,1610612747,Los Angeles Lakers,71,52,19,0.732,3418.0,109.6,111.7,103.8,106.1,5.8,5.6,0.6,1.67,18.0,0.283,0.737,0.512,0.149,0.542,0.573,103.3,101.2,84.33,7211,0.539,21,3,2,3,22,11,3,5,15,14,10,6,11,6,23,5,9,11,2
Western Conference,Los Angeles Clippers*,49,23,0.681,3.5,116.3,109.9,6.66,2019-20,Los Angeles Clippers,1610612746,1610612746,LA Clippers,72,49,23,0.681,3476.0,111.1,113.3,105.3,106.9,5.7,6.3,0.571,1.63,16.9,0.278,0.737,0.515,0.142,0.535,0.577,103.9,102.16,85.13,7396,0.532,11,4,4,4,16,2,5,2,24,19,20,10,10,3,12,9,6,8,3
Western Conference,Denver Nuggets*,46,27,0.63,7.0,111.3,109.2,2.35,2019-20,Denver Nuggets,1610612743,1610612743,Denver Nuggets,73,46,27,0.63,3549.0,110.1,112.6,108.6,110.4,1.5,2.2,0.636,1.94,19.1,0.294,0.725,0.509,0.139,0.535,0.567,99.5,97.64,81.37,7217,0.517,3,6,6,6,3,5,16,11,5,3,2,3,20,11,9,10,15,29,11
Western Conference,Houston Rockets*,44,28,0.611,8.5,117.8,114.8,3.13,2019-20,Houston Rockets,1610612745,1610612745,Houston Rockets,72,44,28,0.611,3476.0,110.3,112.5,107.4,109.8,2.9,2.7,0.53,1.47,15.5,0.249,0.713,0.48,0.14,0.537,0.578,106.3,104.04,86.7,7539,0.494,11,8,7,8,16,6,15,8,29,29,29,26,26,29,10,7,5,2,19
Western Conference,Oklahoma City Thunder*,44,28,0.611,8.5,110.4,108.4,2.33,2019-20,Oklahoma City Thunder,1610612760,1610612760,Oklahoma City Thunder,72,44,28,0.611,3486.0,108.4,110.1,106.3,108.1,2.1,2.1,0.543,1.58,16.3,0.241,0.728,0.492,0.137,0.53,0.573,101.1,99.42,82.85,7218,0.519,11,8,7,8,13,17,7,12,28,22,27,29,19,22,7,18,10,21,10
Western Conference,Utah Jazz*,44,28,0.611,8.5,111.3,108.8,2.52,2019-20,Utah Jazz,1610612762,1610612762,Utah Jazz,72,44,28,0.611,3471.0,110.0,111.8,107.4,109.3,2.6,2.5,0.56,1.48,16.8,0.261,0.746,0.512,0.152,0.549,0.585,100.8,99.15,82.62,7169,0.513,11,8,7,8,19,9,13,9,25,27,24,20,6,8,25,2,2,24,12
Western Conference,Dallas Mavericks*,43,32,0.573,11.0,117.0,112.1,4.87,2019-20,Dallas Mavericks,1610612742,1610612742,Dallas Mavericks,75,43,32,0.573,3635.0,113.7,115.9,109.5,111.2,4.2,4.8,0.592,1.94,17.7,0.275,0.74,0.509,0.126,0.545,0.581,101.7,99.89,83.24,7569,0.521,1,12,13,13,1,1,18,6,17,4,14,12,8,10,3,4,4,18,8
Western Conference,Portland Trail Blazers*,35,39,0.473,18.5,115.0,116.1,-0.61,2019-20,Portland Trail Blazers,1610612757,1610612757,Portland Trail Blazers,74,35,39,0.473,3567.0,111.1,113.2,111.8,114.3,-0.7,-1.1,0.488,1.61,15.2,0.266,0.712,0.492,0.126,0.533,0.57,103.2,101.17,84.31,7519,0.486,2,14,15,15,2,3,27,18,30,20,30,17,28,20,2,14,12,13,20
Western Conference,Memphis Grizzlies,34,39,0.466,19.0,112.6,113.7,-0.91,2019-20,Memphis Grizzlies,1610612763,1610612763,Memphis Grizzlies,73,34,39,0.466,3514.0,106.9,108.7,107.5,109.7,-0.6,-1.0,0.633,1.77,18.7,0.271,0.733,0.506,0.147,0.528,0.561,105.3,103.31,86.1,7562,0.507,3,16,15,16,9,21,14,17,6,9,5,13,15,14,20,20,21,6,14
Western Conference,Phoenix Suns,34,39,0.466,19.0,113.6,113.4,0.56,2019-20,Phoenix Suns,1610612756,1610612756,Phoenix Suns,73,34,39,0.466,3519.0,109.7,111.3,108.4,110.8,1.4,0.5,0.661,1.84,19.2,0.261,0.734,0.498,0.145,0.532,0.576,103.7,101.74,84.79,7449,0.512,3,16,15,16,6,12,17,14,2,6,1,21,14,16,16,15,7,9,13
Western Conference,San Antonio Spurs,32,39,0.451,20.0,114.1,115.2,-0.65,2019-20,San Antonio Spurs,1610612759,1610612759,San Antonio Spurs,71,32,39,0.451,3443.0,110.4,111.7,110.9,112.6,-0.5,-0.9,0.585,1.96,17.9,0.233,0.751,0.495,0.123,0.531,0.572,102.6,101.14,84.29,7249,0.502,21,19,15,19,21,10,24,16,21,1,12,30,4,18,1,16,11,14,15
Western Conference,Sacramento Kings,31,41,0.431,21.5,110.1,112.1,-1.59,2019-20,Sacramento Kings,1610612758,1610612758,Sacramento Kings,72,31,41,0.431,3491.0,107.8,109.5,109.6,111.4,-1.8,-1.9,0.582,1.64,17.4,0.258,0.736,0.492,0.144,0.534,0.566,101.2,99.6,83.0,7239,0.479,11,20,20,20,12,18,19,21,22,16,18,22,13,21,15,11,17,19,21
Western Conference,New Orleans Pelicans,30,42,0.417,22.5,115.8,117.1,-0.55,2019-20,New Orleans Pelicans,1610612740,1610612740,New Orleans Pelicans,72,30,42,0.417,3486.0,108.0,110.5,109.4,111.8,-1.4,-1.3,0.63,1.64,18.4,0.287,0.729,0.508,0.156,0.539,0.568,106.3,103.89,86.57,7548,0.495,11,21,21,21,13,15,21,20,7,17,7,4,18,13,29,6,14,4,18
Western Conference,Minnesota Timberwolves,19,45,0.297,29.5,113.3,117.5,-4.02,2019-20,Minnesota Timberwolves,1610612750,1610612750,Minnesota Timberwolves,64,19,45,0.297,3112.0,105.3,107.6,110.0,111.6,-4.7,-4.0,0.59,1.55,16.7,0.264,0.731,0.488,0.146,0.514,0.551,105.9,103.94,86.62,6736,0.472,30,28,24,28,30,24,20,24,18,24,26,18,17,23,18,26,25,3,24
Western Conference,Golden State Warriors,15,50,0.231,34.0,106.3,115.0,-8.12,2019-20,Golden State Warriors,1610612744,1610612744,Golden State Warriors,65,15,50,0.231,3145.0,102.9,104.4,110.9,113.0,-8.0,-8.6,0.663,1.72,18.2,0.255,0.722,0.481,0.146,0.497,0.54,102.7,101.04,84.2,6623,0.462,26,30,30,30,27,30,26,30,1,11,8,25,21,27,19,30,28,15,26
