Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,-9999
1,Devin Booker,24,6,6,241,.538,.493,3.2,6.9,5.0,16.4,1.0,0.6,10.8,33.5,104,121,16.2,bookede01
2,Chris Paul,35,6,6,224,.622,.610,2.0,5.5,4.0,35.2,0.9,0.4,16.6,25.7,118,122,16.4,paulch01
3,Deandre Ayton,22,6,6,225,.597,.531,7.1,27.4,18.0,6.3,2.0,3.1,9.8,16.6,120,110,14.8,aytonde01
4,Mikal Bridges,24,6,6,192,.663,.622,2.5,11.7,7.3,5.0,1.6,1.3,11.4,14.5,121,118,9.8,bridgmi01
5,Jae Crowder,30,6,6,223,.612,.569,2.1,22.3,12.7,5.7,2.2,2.2,10.9,13.1,112,112,10.8,crowdja01
6,Cameron Johnson,24,6,0,136,.670,.629,3.9,12.1,8.0,5.0,1.1,1.8,9.5,14.2,126,120,6.7,johnsca02
7,Cameron Payne,26,6,0,94,.525,.524,2.7,15.3,9.3,14.1,2.2,0.0,10.7,22.9,102,117,5.2,payneca01
8,Torrey Craig,30,6,0,64,.507,.500,3.8,10.1,7.2,2.0,0.0,0.0,10.7,13.6,93,124,1.2,craigto01
9,Frank Kaminsky,27,4,0,29,.667,.667,7.5,15.2,11.5,17.6,1.6,0.0,10.0,15.4,131,115,3.1,kaminfr01
10,Ty-Shon Alexander,22,1,0,1,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,200,133,1.7,alexaty01
11,Abdel Nader,27,2,0,8,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0,133,-0.6,naderab01
12,Dario Šarić,26,1,0,2,.000,.000,45.5,0.0,22.2,0.0,0.0,0.0,0.0,18.4,74,116,0.0,saricda01
,Team Totals,26.6,6,,1440,.590,.555,17.4,70.8,45.7,48.0,7.3,6.9,12.3,,113.8,116.3,,-9999